27 # number of lsq's
# i  j        lsq (i,j)
  1  2  1.392513286815195790E-01
  1  3  1.155773065894760000E-01
  2  3  5.806736010470099700E-01
  4  1  1.392600067380577170E-01
  4  2  2.944506163443210470E-01
  4  3  2.865709326349943620E-01
  5  1  1.392745949173111260E-01
  5  2  2.947079239899350280E-01
  5  3  2.868692102784903280E-01
  4  5  6.885769210248815140E-02
  6  1  1.392508308043807900E-01
  6  2  2.942889709116651260E-01
  6  3  2.863832180811271130E-01
  5  6  6.885721768046763990E-02
  7  1  1.392259547097152920E-01
  7  2  2.938549308895031220E-01
  7  3  2.858758736884387000E-01
  6  7  6.885337377318479530E-02
  8  1  1.392411492141146330E-01
  8  2  2.941351091658311930E-01
  8  3  2.861975372577114820E-01
  7  8  6.884675605871228380E-02
  9  1  1.392724021046949250E-01
  9  2  2.946943920911550990E-01
  9  3  2.868491417232620260E-01
  8  9  6.884000838837821940E-02
  9  4  5.708166507325280620E-01
