# defect
-3.432541952483177160E-02

# i  j   d(defect)/d(lsq(i,j))
  1  2 -2.464916985827381930E+01
  1  3 -2.478922129047151150E+01
  2  3 -2.467789616064592580E+01
  4  1  3.048339003100295490E+01
  4  2  3.035919543141157220E+01
  4  3  3.051951224297038230E+01
  5  1  3.262955570886601340E+00
  5  2  3.253677529940668820E+00
  5  3  3.267097658253211520E+00
  4  5 -2.094266924040265960E+01
  6  1  3.288178422364719670E+00
  6  2  3.244290320781230890E+00
  6  3  3.290585379608571110E+00
  5  6 -2.089149844377622080E+01
  7  1  3.270036703613657720E+00
  7  2  3.251659108392221590E+00
  7  3  3.273474292518891290E+00
  6  7 -2.089261543890449210E+01
  8  1  3.243420307514030040E+00
  8  2  3.278863640519153450E+00
  8  3  3.249903783980756530E+00
  7  8 -2.095238726961954500E+01
  9  1  3.065076960133482710E+01
  9  2  3.047774591225114200E+01
  9  3  3.068466052347688340E+01
  8  9 -2.098450529068234410E+01
  9  4 -4.442936289110224380E+01
